Tahun,Kabupaten/Kota,kasus_dbd,jumlah_meninggal,curah_hujan_mm,timbulan_sampah_ton,penduduk_ribu,kepadatan_penduduk_km2,akses_sanitasi_layak_persen,IR_DBD_per_100k
2019,cilacap,476,9,3947,333228.0,1727.1,813,75.51,27.560650801922296
2019,banyumas,202,12,1273,238272.0,1693.0,1268,67.06,11.9314825753101
2019,purbalingga,502,6,1273,153715.0,934.0,1378,64.87,53.74732334047109
2019,banjarnegara,277,0,1273,199839.0,923.2,902,24.07,30.004332755632582
2019,kebumen,259,1,1273,168128.0,1198.0,989,85.18,21.619365609348915
2019,purworejo,82,1,1273,104886.0,718.3,658,66.75,11.415842962550466
2019,wonosobo,78,0,1273,130638.0,790.5,805,17.34,9.867172675521822
2019,magelang,215,2,1273,222533.0,1290.6,1170,81.38,16.6589183325585
2019,magelang,215,2,1273,222533.0,1290.6,1170,63.15,16.6589183325585
2019,magelang,215,2,1273,222533.0,121.9,6541,81.38,176.3740771123872
2019,magelang,215,2,1273,222533.0,121.9,6541,63.15,176.3740771123872
2019,magelang,215,2,1273,27421.0,1290.6,1170,81.38,16.6589183325585
2019,magelang,215,2,1273,27421.0,1290.6,1170,63.15,16.6589183325585
2019,magelang,215,2,1273,27421.0,121.9,6541,81.38,176.3740771123872
2019,magelang,215,2,1273,27421.0,121.9,6541,63.15,176.3740771123872
2019,magelang,215,2,1273,222533.0,1290.6,1170,81.38,16.6589183325585
2019,magelang,215,2,1273,222533.0,1290.6,1170,63.15,16.6589183325585
2019,magelang,215,2,1273,222533.0,121.9,6541,81.38,176.3740771123872
2019,magelang,215,2,1273,222533.0,121.9,6541,63.15,176.3740771123872
2019,magelang,215,2,1273,27421.0,1290.6,1170,81.38,16.6589183325585
2019,magelang,215,2,1273,27421.0,1290.6,1170,63.15,16.6589183325585
2019,magelang,215,2,1273,27421.0,121.9,6541,81.38,176.3740771123872
2019,magelang,215,2,1273,27421.0,121.9,6541,63.15,176.3740771123872
2019,boyolali,413,1,1273,140417.0,984.8,977,79.48,41.9374492282697
2019,klaten,298,5,1273,167528.0,1175.0,1785,92.85,25.361702127659576
2019,sukoharjo,315,10,1273,119495.0,891.9,1915,94.93,35.317860746720484
2019,wonogiri,59,2,1273,160211.0,959.8,526,85.63,6.1471139820796
2019,karanganyar,838,7,1273,119330.0,886.9,1147,90.6,94.48641334987033
2019,sragen,122,0,1273,143438.0,891.8,947,89.61,13.680197353666742
2019,grobogan,79,5,1273,178082.0,1355.2,670,86.12,5.82939787485242
2019,blora,311,7,1273,116664.0,856.3,470,83.49,36.31904706294523
2019,rembang,95,3,1273,141369.0,635.5,1001,90.08,14.948859166011015
2019,pati,346,2,1273,164098.0,1255.7,836,88.93,27.55435215417695
2019,kudus,186,15,1273,119041.0,871.3,2035,84.48,21.3474119132331
2019,jepara,365,4,1273,157922.0,1227.8,1217,51.38,29.72796872454797
2019,demak,157,0,1273,171638.0,1143.2,1270,85.9,13.733379986004199
2019,semarang,457,2,1273,140989.0,1032.5,1087,95.32,44.261501210653755
2019,semarang,457,2,1273,140989.0,1032.5,1087,72.39,44.261501210653755
2019,semarang,457,2,1273,140989.0,1814.1,4855,95.32,25.191555041067197
2019,semarang,457,2,1273,140989.0,1814.1,4855,72.39,25.191555041067197
2019,semarang,457,2,1273,463375.0,1032.5,1087,95.32,44.261501210653755
2019,semarang,457,2,1273,463375.0,1032.5,1087,72.39,44.261501210653755
2019,semarang,457,2,1273,463375.0,1814.1,4855,95.32,25.191555041067197
