tahun_data,kab_kota,indikator,jumlah,satuan
2019,Kab. Banjarnegara,Timbulan Sampah,199839,Ton
2019,Kab. Banyumas,Timbulan Sampah,238272,Ton
2019,Kab. Batang,Timbulan Sampah,120286,Ton
2019,Kab. Blora,Timbulan Sampah,116664,Ton
2019,Kab. Boyolali,Timbulan Sampah,140417,Ton
2019,Kab. Brebes,Timbulan Sampah,245987,Ton
2019,Kab. Cilacap,Timbulan Sampah,333228,Ton
2019,Kab. Demak,Timbulan Sampah,171638,Ton
2019,Kab. Grobogan,Timbulan Sampah,178082,Ton
2019,Kab. Jepara,Timbulan Sampah,157922,Ton
2019,Kab. Karanganyar,Timbulan Sampah,119330,Ton
2019,Kab. Kebumen,Timbulan Sampah,168128,Ton
2019,Kab. Kendal,Timbulan Sampah,140722,Ton
2019,Kab. Klaten,Timbulan Sampah,167528,Ton
2019,Kab. Kudus,Timbulan Sampah,119041,Ton
2019,Kab. Magelang,Timbulan Sampah,222533,Ton
2019,Kab. Pati,Timbulan Sampah,164098,Ton
2019,Kab. Pekalongan,Timbulan Sampah,135965,Ton
2019,Kab. Pemalang,Timbulan Sampah,206841,Ton
2019,Kab. Purbalingga,Timbulan Sampah,153715,Ton
2019,Kab. Purworejo,Timbulan Sampah,104886,Ton
2019,Kab. Rembang,Timbulan Sampah,141369,Ton
2019,Kab. Semarang,Timbulan Sampah,140989,Ton
2019,Kab. Sragen,Timbulan Sampah,143438,Ton
2019,Kab. Sukoharjo,Timbulan Sampah,119495,Ton
2019,Kab. Tegal,Timbulan Sampah,184457,Ton
2019,Kab. Temanggung,Timbulan Sampah,104845,Ton
2019,Kab. Wonogiri,Timbulan Sampah,160211,Ton
2019,Kab. Wonosobo,Timbulan Sampah,130638,Ton
2019,Kota Magelang,Timbulan Sampah,27421,Ton
2019,Kota Pekalongan,Timbulan Sampah,49168,Ton
2019,Kota Salatiga,Timbulan Sampah,29622,Ton
2019,Kota Semarang,Timbulan Sampah,463375,Ton
2019,Kota Surakarta,Timbulan Sampah,107383,Ton
2019,Kota Tegal,Timbulan Sampah,75494,Ton
2020,Kab. Banjarnegara,Timbulan Sampah,179000,Ton
2020,Kab. Banyumas,Timbulan Sampah,195357.75,Ton
2020,Kab. Batang,Timbulan Sampah,121404.75,Ton
2020,Kab. Blora,Timbulan Sampah,117565,Ton
2020,Kab. Boyolali,Timbulan Sampah,110243.68,Ton
2020,Kab. Brebes,Timbulan Sampah,247717.3,Ton
2020,Kab. Cilacap,Timbulan Sampah,344409.04,Ton
2020,Kab. Demak,Timbulan Sampah,172940,Ton
2020,Kab. Grobogan,Timbulan Sampah,185458.26,Ton
2020,Kab. Jepara,Timbulan Sampah,142835,Ton
2020,Kab. Karanganyar,Timbulan Sampah,119330,Ton
2020,Kab. Kebumen,Timbulan Sampah,169013,Ton
2020,Kab. Kendal,Timbulan Sampah,146820.66,Ton
2020,Kab. Klaten,Timbulan Sampah,167191.95,Ton
2020,Kab. Kudus,Timbulan Sampah,120286.01,Ton
2020,Kab. Magelang,Timbulan Sampah,184918.4,Ton
2020,Kab. Pati,Timbulan Sampah,178049,Ton
2020,Kab. Pekalongan,Timbulan Sampah,136894.27,Ton
2020,Kab. Pemalang,Timbulan Sampah,208579.51,Ton
2020,Kab. Purbalingga,Timbulan Sampah,184585.06,Ton
2020,Kab. Purworejo,Timbulan Sampah,105420.18,Ton
2020,Kab. Rembang,Timbulan Sampah,142702.48,Ton
2020,Kab. Semarang,Timbulan Sampah,140742.04,Ton
2020,Kab. Sragen,Timbulan Sampah,144793,Ton
2020,Kab. Sukoharjo,Timbulan Sampah,120286.01,Ton
2020,Kab. Tegal,Timbulan Sampah,251950.08,Ton
2020,Kab. Temanggung,Timbulan Sampah,105943.43,Ton
2020,Kab. Wonogiri,Timbulan Sampah,161962,Ton
2020,Kab. Wonosobo,Timbulan Sampah,132496.46,Ton
2020,Kota Magelang,Timbulan Sampah,26871.93,Ton
2020,Kota Pekalongan,Timbulan Sampah,48039.69,Ton
2020,Kota Salatiga,Timbulan Sampah,29555.51,Ton
2020,Kota Semarang,Timbulan Sampah,456208.57,Ton
2020,Kota Surakarta,Timbulan Sampah,111831.6,Ton
2020,Kota Tegal,Timbulan Sampah,75932.3,Ton
2021,Kab. Banjarnegara,Timbulan Sampah,179000,Ton
2021,Kab. Banyumas,Timbulan Sampah,195357.75,Ton
2021,Kab. Batang,Timbulan Sampah,121404.75,Ton
2021,Kab. Blora,Timbulan Sampah,117565,Ton
2021,Kab. Boyolali,Timbulan Sampah,110243.68,Ton
2021,Kab. Brebes,Timbulan Sampah,247717.3,Ton
2021,Kab. Cilacap,Timbulan Sampah,344409.04,Ton
2021,Kab. Demak,Timbulan Sampah,172940,Ton
2021,Kab. Grobogan,Timbulan Sampah,185458.26,Ton
2021,Kab. Jepara,Timbulan Sampah,142835,Ton
